uid,type,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,addressDescription,lat,lon,balanceHolderName,balanceHolderId,elements,area,startDate,inventoryDate,inventoryOrgName,inventoryOrgId,passport,plan
103-86,спортивний,UA80000000000479391,02218,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Райдужна,null,null,місця загального користування,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Футбольний,воркаут",682.00,2014-11-01,2025-12-01,null,null,null,null
103-87,спортивний,UA80000000000479391,02218,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Райдужна,69,null,місця загального користування,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Воркаут,футбольний",807.00,2014-11-01,2025-12-01,null,null,null,null
103-88,спортивний,UA80000000000479391,02218,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Райдужна,null,null,місця загального користування,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Футбольний,воркаут",288.00,2014-11-01,2025-12-01,null,null,null,null
103-89,спортивний,UA80000000000479391,02218,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Райдужна,29,null,місця загального користування,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,Null,200.00,2014-11-01,2025-12-01,null,null,null,null
103-90,спортивний,UA80000000000479391,02218,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Райдужна,null,null,місця загального користування,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,Футбольний,544.00,2014-11-01,2025-12-01,null,null,null,null
103-91,спортивний,UA80000000000479391,02223,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Райдужна,2,null,місця загального користування,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Футбольний,воркаут",432.00,2014-11-01,2025-12-01,null,null,null,null
103-92,спортивний,UA80000000000479391,02223,Україна,місто Київ,null,null,Київ,Дніпровський,вул.П.Вершигори,9,null,місця загального користування,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,Воркаут,160.00,2014-11-01,2025-12-01,null,null,null,null
103-93,спортивний,UA80000000000479391,02223,Україна,місто Київ,null,null,Київ,Дніпровський,вул.П.Вершигори,5,null,місця загального користування,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Футбольний,воркаут",522.00,2014-11-01,2025-12-01,null,null,null,null
103-94,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,просп.Миру,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Гірка,гойдалка,пісочниця, лавка, рахівниця,дошка для малювання",450.00,2016-03-28,2025-12-01,null,null,null,null
103-95,дитячий,UA80000000000479391,02105,Україна,місто Київ,null,null,Київ,Дніпровський,бульв. Верховної Ради,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Гойдалка,шведська стінка, гойдалка-балансир,турнік,гірка,пісочниця,лавка,слонік",428.00,2016-03-28,2025-12-01,null,null,null,null
103-96,дитячий,UA80000000000479391,02101,Україна,місто Київ,null,null,Київ,Дніпровський,бульв. Верховної Ради,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Пісочниця,гойдалка-балансир,карусель,гірка",320.00,2014-11-01,2025-12-01,null,null,null,null
103-97,дитячий,UA80000000000479391,02102,Україна,місто Київ,null,null,Київ,Дніпровський,бульв. Верховної Ради,18,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Карусель,гойдалка,пісочниця,гірка,гойдалка-балансир,шведська стінка,лавка",288.00,2014-11-01,2025-12-01,null,null,null,null
103-98,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,бульв. Верховної Ради,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Карусель,гойдалка,пісочниця,гойдалка на пружині,гірка,лавки",300.00,2014-11-01,2025-12-01,null,null,null,null
103-99,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,бульв. Верховної Ради,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Гірка,гойдалка,пісочниця, лавка, рахівниця,дошка для малювання",80.00,2017-12-29,2025-12-01,null,null,null,null
103-100,дитячий,UA80000000000479391,02101,Україна,місто Київ,null,null,Київ,Дніпровський,бульв. Верховної Ради,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Карусель,гойдалка,жираф,пісочниця,гірка,балансир,шведська стінка,лавки",288.00,2017-12-29,2025-12-01,null,null,null,null
103-101,дитячий,UA80000000000479391,02101,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Будівельників,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Гойдалка,пісочниця,гірка,лавка,урна",200.00,2014-11-01,2025-12-01,null,null,null,null
103-102,дитячий,UA80000000000479391,02105,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Будівельників,3,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Жираф,лавка,,пісочниця",80.00,2016-03-28,2025-12-01,null,null,null,null
103-103,дитячий,UA80000000000479391,02105,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Будівельників,4,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Жираф,гойдалка,карусель, пісочниця,лавки",170.00,2014-11-01,2025-12-01,null,null,null,null
103-104,дитячий,UA80000000000479391,02105,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Будівельників,8,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Карусель,гойдалка,пісочниця,гірка, гойдалка-балансир,лавка,урна",162.00,2014-11-01,2025-12-01,null,null,null,null
103-105,дитячий,UA80000000000479391,02101,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Будівельників,14,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Гойдалка,пісочниця,качеля,лавка,урна",200.00,2014-11-01,2025-12-01,null,null,null,null
103-106,дитячий,UA80000000000479391,02101,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Будівельників,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Ігровий комплекс, пісочниця,гірка",300.00,2014-11-01,2025-12-01,null,null,null,null
103-107,дитячий,UA80000000000479391,02101,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Будівельників,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Карусель,гойдалка,пісочниця,гірка,балансир,лава",162.00,2014-11-01,2025-12-01,null,null,null,null
103-108,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Гетьмана П.Полуботка,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,Null,507.00,2014-11-01,2025-12-01,null,null,null,null
103-109,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Пластова,13,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Карусель,гойдалка,жираф, лавка,пісочниця,ігровий комплекс",192.00,2014-11-01,2025-12-01,null,null,null,null
103-110,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Пластова,19,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Гойдалка,карусекль,жираф,пісочниця,лавка,ігровий комплекс",480.00,2016-12-31,2025-12-01,null,null,null,null
103-111,дитячий,UA80000000000479391,02105,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Тампере,10,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Пісочниця,гірка,гойдалка,лавка",340.00,2016-03-28,2025-12-01,null,null,null,null
103-112,дитячий,UA80000000000479391,02105,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Г. Чупринки,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Ігровий комплекс,гойдалка,післчниця,гірка, гойдалка- балансир, лавка,шведська стінка",614.00,2016-03-28,2025-12-01,null,null,null,null
103-113,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Л.Каденюка,46034,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Кароусель,жираф,гойдалка,пісочниця,лавки",216.00,2014-11-01,2025-12-01,null,null,null,null
103-114,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Л.Каденюка,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Карусель,гойдалка,жираф,пісочниця,ігровий комплекс,лавки",185.00,2014-11-01,2025-12-01,null,null,null,null
103-115,дитячий,UA80000000000479391,02105,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Л.Каденюка,46058,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Карусель,гойдалка,жираф,пісочниця,лавки",170.00,2014-11-01,2025-12-01,null,null,null,null
103-116,дитячий,UA80000000000479391,02105,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Л.Каденюка,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,Шведська стінка,100.00,2014-11-01,2025-12-01,null,null,null,null
103-117,дитячий,UA80000000000479391,02105,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Л.Каденюка,9,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,Null,50.00,2014-11-01,2025-12-01,null,null,null,null
103-118,дитячий,UA80000000000479391,02105,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Л.Каденюка,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Карусель,гойдалки,жираф,пісочниця,лавки,спорткомплекс",510.00,2014-11-01,2025-12-01,null,null,null,null
103-119,дитячий,UA80000000000479391,02105,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Л.Каденюка,3,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Гойдалка,пісочниця,гірка,лавка",460.00,2016-03-28,2025-12-01,null,null,null,null
103-120,дитячий,UA80000000000479391,02105,Україна,місто Київ,null,null,Київ,Дніпровський,просп.Миру,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Карусель,пісочниця,гірка,лавки, гойдалка, будиночок",450.00,2014-11-02,2025-12-01,null,null,null,null
103-121,дитячий,UA80000000000479391,02105,Україна,місто Київ,null,null,Київ,Дніпровський,просп.Соборності,46073,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Карусель, пісочниця, гірка, лавки",360.00,2016-03-28,2025-12-01,null,null,null,null
103-122,дитячий,UA80000000000479391,02105,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Вифліемська,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,Null,50.00,2016-03-31,2025-12-01,null,null,null,null
103-123,дитячий,UA80000000000479391,02101,Україна,місто Київ,null,null,Київ,Дніпровський,провул. Будівельників,9,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Ігровий комплекс, драбинка,гойдалка,гойдалка-балансир",76.00,2014-11-01,2025-12-01,null,null,null,null
103-124,дитячий,UA80000000000479391,02101,Україна,місто Київ,null,null,Київ,Дніпровський,вул.С.Набоки,1,null,місця загального користування,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Ігровой комплекс,пісочниця,лавка,гойдалка",108.00,2014-11-01,2025-12-01,null,null,null,null
103-125,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Багалія,1,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Ігровий комплекс,гойдалка,карусель,пісочниця,гойдалка-балансир",480.00,2014-11-01,2025-12-01,null,null,null,null
103-126,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Багалія,9,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Гойдалка-балансир,гірка,пісочниця",358.00,2014-11-01,2025-12-01,null,null,null,null
103-127,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Багалія,null,null,місця загального користування,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Ігровий комплекс,пісочниця,гойдалка,гойдалка-балансир,лави",285.00,2014-11-01,2025-12-01,null,null,null,null
103-128,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Багалія,15,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,Лавки для відпочинку,168.00,2014-11-01,2025-12-01,null,null,null,null
103-129,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,вул.Гетьмана П.Полуботка,28,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Ігровой комплекс,гойдалка балансир,пісочниця,гойдалка",185.00,2014-11-01,2025-12-01,null,null,null,null
103-130,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,вул.В.Черчилля,null,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Ігровой комплекс,гойдалка,гойдалка-балансир,карусель,пісочниця,гірка,лава",557.00,2014-11-01,2025-12-01,null,null,null,null
103-131,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,вул.В.Черчилля,46080,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Ігровой комплекс,гірка пісочниця,гойдалка",240.00,2014-11-01,2025-12-01,null,null,null,null
103-132,дитячий,UA80000000000479391,02094,Україна,місто Київ,null,null,Київ,Дніпровський,вул.В.Черчилля,19,null,прибудинкова,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,Ігровий ко мплекс,714.00,2014-11-01,2025-12-01,null,null,null,null
103-133,дитячий,UA80000000000479391,02101,Україна,місто Київ,null,null,Київ,Дніпровський,вул.В.Черчилля,14,null,місця загального користування,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Ігровий комплекс,гірка,гойдалка,пісочниця,гойдалка-балансир,лава",187.00,2014-11-01,2025-12-01,null,null,null,null
103-134,дитячий,UA80000000000479391,02101,Україна,місто Київ,null,null,Київ,Дніпровський,вул.В.Черчилля,null,null,місця загального користування,null,null,КП «Керуюча компанія з обслуговування житлового фонду Дніпровського району м.Києва»,39606435,"Ігровий комплекс,гірка,пісочниця,лазанка,лава",584.00,2016-03-28,2025-12-02,null,null,null,null
104-1,дитячий,UA80000000000551439,04207,Україна,місто Київ,null,null,Київ,Оболонський,вул. Богатирська,2,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Подвійна гойдалка, пісочниця, балансир, карусель, ігровий комплекс, лава-2",145.0,1976-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-2,дитячий,UA80000000000551439,04212,Україна,місто Київ,null,null,Київ,Оболонський,вул. Героїв полку «Азов»,3,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Пісочниця, лава-2, подвійна гойдалка, будиночок, карусель, балансир, драбинка, ракета, пташка",88.0,1974-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-3,дитячий,UA80000000000551439,04212,Україна,місто Київ,null,null,Київ,Оболонський,вул. Героїв полку «Азов»,null,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Пісочниця, лава-5, подвійна гойдалка, пружинка-коник, ігровий комплекс, драбина",261.0,1974-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-4,дитячий,UA80000000000551439,04212,Україна,місто Київ,null,null,Київ,Оболонський,вул. Героїв полку «Азов»,4,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Пісочниця, гойдалка, гірка",320.0,1976-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-5,дитячий,UA80000000000551439,04212,Україна,місто Київ,null,null,Київ,Оболонський,вул. Героїв полку «Азов»,null,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Лава-4, подвійна гойдалка, карусель, турнік, ігровий комплекс, балансир-3",451.0,1977-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-6,дитячий,UA80000000000551439,04212,Україна,місто Київ,null,null,Київ,Оболонський,вул. Героїв полку «Азов»,11,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Пісочниця, лава-4, подвійна гойдалка, драбинка-2, ігровий комплекс, балансир",155.0,1977-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-7,дитячий,UA80000000000551439,04212,Україна,місто Київ,null,null,Київ,Оболонський,вул. Героїв полку «Азов»,null,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Пісочниця, гірка, подвійна, гойдалка, балансир",99.0,1974-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-8,дитячий,UA80000000000551439,04212,Україна,місто Київ,null,null,Київ,Оболонський,вул. Героїв полку «Азов»,null,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Ігровий комплекс, балансир-2, пісочниця, гірка, лава-5, пружинка",437.0,1974-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-9,дитячий,UA80000000000551439,04212,Україна,місто Київ,null,null,Київ,Оболонський,вул. Героїв полку «Азов»,46096,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Подвійна гойдалка-2, балансир-2, пісочниця, ігровий комплекс, драбинка, карусель, лава",225.0,1982-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-10,дитячий,UA80000000000551439,04207,Україна,місто Київ,null,null,Київ,Оболонський,вул. Зої Гайдай,null,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Пісочниця, лава-3, подвійна гойдалка-2, карусель, пружинка-коник, ігровий комплекс, балансир",254.0,1980-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-11,дитячий,UA80000000000551439,04207,Україна,місто Київ,null,null,Київ,Оболонський,вул. Зої Гайдай,null,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Пісочниця, лава-6, подвійна гойдалка, карусель, пружинка-коник, ігровий комплекс-2",219.0,1979-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-12,дитячий,UA80000000000551439,04207,Україна,місто Київ,null,null,Київ,Оболонський,вул. Левка Лук'яненка,1,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Лава-3, подвійна гойдалка-2, гірка, карусель, пружинка, балансир-2",284.0,1975-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-13,дитячий,UA80000000000551439,04207,Україна,місто Київ,null,null,Київ,Оболонський,вул. Левка Лук'яненка,null,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Лава-4, подвійна гойдалка-2, балансир, шведська стінка, ігровий комплекс, будинок, пісочниця, карусель",266.0,1979-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-14,дитячий,UA80000000000551439,04212,Україна,місто Київ,null,null,Київ,Оболонський,вул. Левка Лук'яненка,2,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Подвійна гойдалка-2, пісочниця, гірка, лава-2",473.0,1974-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-15,дитячий,UA80000000000551439,04212,Україна,місто Київ,null,null,Київ,Оболонський,вул. Левка Лук'яненка,null,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Подвійна гойдалка-2шт, ігровий комплекс, гойдалка, турнік, лава-2шт, драбинка",483.0,1974-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-16,дитячий,UA80000000000551439,04212,Україна,місто Київ,null,null,Київ,Оболонський,вул. Левка Лук'яненка,null,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Подвійна гойдалка, пісочниця, лава-3шт, драбинка, гірка",205.0,1977-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-17,дитячий,UA80000000000551439,04212,Україна,місто Київ,null,null,Київ,Оболонський,вул. Левка Лук'яненка,null,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Пісочниця, лава-4, подвійна гойдалка-2, ракета, балансир-3",289.0,1978-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-18,дитячий,UA80000000000551439,04212,Україна,місто Київ,null,null,Київ,Оболонський,вул. Левка Лук'яненка,null,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Пружинка, балансир, пісочниця, ігровий комплекс, гойдалка",134.0,1981-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-19,дитячий,UA80000000000551439,04207,Україна,місто Київ,null,null,Київ,Оболонський,вул. Левка Лук'яненка,3,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Лава-3, подвійна гойдалка, балансир, пісочниця, ігровий комплекс, гойдалка",245.0,1976-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-20,дитячий,UA80000000000551439,04207,Україна,місто Київ,null,null,Київ,Оболонський,вул. Левка Лук'яненка,null,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Подвійна гойдалка, пісочниця, балансир, лава-6, карусель, ігровий комплекс, гойдалка",738.0,1974-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-21,дитячий,UA80000000000551439,04207,Україна,місто Київ,null,null,Київ,Оболонський,вул. Левка Лук'яненка,7,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Лава-2, ігровий комплекс, пісочниця, гойдалка, балансир-2, карусель",236.0,2021-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-22,дитячий,UA80000000000551439,04207,Україна,місто Київ,null,null,Київ,Оболонський,вул. Левка Лук'яненка,null,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Лава-3, подвійна гойдалка-2, балансир-2, ігровий комплекс, гірка, пісочниця, карусель",349.0,1976-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-23,дитячий,UA80000000000551439,04207,Україна,місто Київ,null,null,Київ,Оболонський,вул. Левка Лук'яненка,null,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Лава-4, подвійна гойдалка-2, балансир-2, пісочниця, гірка, ігровий комплекс",282.0,1976-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-24,дитячий,UA80000000000551439,04207,Україна,місто Київ,null,null,Київ,Оболонський,вул. Левка Лук'яненка,null,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Лава-2, подвійна гойдалка, балансир-2, пісочниця, ігровий комплекс, подвійна драбина",238.0,1976-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-25,дитячий,UA80000000000551439,04207,Україна,місто Київ,null,null,Київ,Оболонський,вул. Левка Лук'яненка,12,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Подвійна гойдалка, пісочниця, балансир лава-9шт, карусель, ігровий комплекс, гойдалка-3, драбинка-5",189.0,1990-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-26,дитячий,UA80000000000551439,04205,Україна,місто Київ,null,null,Київ,Оболонський,просп. Оболонський,5,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Лав-4, гойдалка, балансир, гірка-будинок, драбинка, пружинка, пісочниця",283.0,1974-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
104-27,дитячий,UA80000000000551439,04205,Україна,місто Київ,null,null,Київ,Оболонський,просп. Оболонський,7,null,прибудинкова територія,null,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,"Лава-3, гойдалка-2, балансир, гірка-будинок, пісочниця, гірка",150.0,1974-01-01,null,КП «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,null
