uid,inventoryNumber,serialNumber,passportNumber,title,model,producerName,dateReceived,quantity,unitName,primaryAmountValue,currencyCode,amortizationAmountValue,currencyCode1,bookAmountValue,currencyCode2,usageDuarationInYears,wearPercentage,serviceSubgroupTitle,serviceSubgroupId,balanceHolderName,balanceHolderId
04350694-1134,113000428,null,null,МУШ інгалятор (небулайзер)NE-MO1,NE-MO1,Heaco Китай,null,1,шт.,974.25,UAH,487.12,UAH,487.13,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1138,113000430,null,null,Насос шприцевий BeneFusion SP1,SP1,Mindray. Китай,null,5,шт.,94000.00,UAH,47000.00,UAH,47000.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1139,113000010,null,null,Небулайзер компресорний NE-C28P,NE-C28P,Mindray. Китай,null,3,шт.,6387.00,UAH,3193.50,UAH,3193.50,UAH,5,50,Аерозольтерапія індивідуальна,DA5.14,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1140,336239,null,null,Негатоскоп,null,Mindray. Китай,null,1,шт.,136.00,UAH,68.00,UAH,68.00,UAH,5,50,Рентгенологічні дослідження,2C,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1141,11130267,null,null,Негатоскоп,null,Mindray. Китай,null,1,шт.,300.00,UAH,150.00,UAH,150.00,UAH,5,50,Рентгенологічні дослідження,2C,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1142,11300369,null,null,Негатоскоп б/в,null,Mindray. Китай,null,1,шт.,70.00,UAH,35.00,UAH,35.00,UAH,5,50,Рентгенологічні дослідження,2C,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1143,336239,null,null,Негатоскопы,null,Mindray. Китай,null,1,шт.,136.00,UAH,68.00,UAH,68.00,UAH,5,50,Рентгенологічні дослідження,2C,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1144,11130327,null,null,Нейбулайзер компрес. Юлайзер pro,Юлайзер pro,ООО «Юрия-Фарм». Україна,null,2,шт.,6090.00,UAH,3045.00,UAH,3045.00,UAH,5,50,Аерозольтерапія індивідуальна,DA5.14,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1145,339491,null,null,Опромінювач ОБН-150,ОБН-150,ТОВ «Кварц». Україна,null,30,шт.,749.00,UAH,374.50,UAH,374.50,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1146,339467,null,null,Опромінювач ОБП-150,ОБН-150,ТОВ «Кварц». Україна,null,7,шт.,140.00,UAH,70.00,UAH,70.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1147,41020,null,null,Опромінювач ОБН-35,ОБН-35,ТОВ «Кварц». Україна,null,10,шт.,1220.00,UAH,610.00,UAH,610.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1148,41021,null,null,Опромінювач ОБН-75М,ОБН-75,Заповіт (Україна),null,10,шт.,1480.00,UAH,740.00,UAH,740.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1149,41016,null,null,Опромінювач ОПБ,ОПБ,Заповіт (Україна),null,1,шт.,139.00,UAH,69.50,UAH,69.50,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1151,111301066,null,null,Опрмінювач-рециркулятор ОРБ2-30 Фіолет Т04,ОРБ2-30,ТОВ «Віола Медтехніка». Україна,null,5,шт.,23500.00,UAH,11750.00,UAH,11750.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1152,458,null,null,Опромінювач TUV-30,TUV-30,ТОВ «Кварц». Україна,null,3,шт.,540.00,UAH,270.00,UAH,270.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1155,339246,null,null,Опромінювач бактерицидний настінний,null,ТОВ Хімлаборреактив Україна,null,5,шт.,100.00,UAH,50.00,UAH,50.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1156,40826,null,null,Опромінювач бактерицидний настінний,null,ТОВ Хімлаборреактив Україна,null,1,шт.,20.00,UAH,10.00,UAH,10.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1163,113000660,null,null,Опромінювач бактерицидний пересувний (3*30Вт) ОБПе-225м,ОБПе-225м,Заповіт (Україна),null,1,шт.,4770.00,UAH,2385.00,UAH,2385.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1164,40826,null,null,Опромінювач бактеріальний настінний,null,ТОВ Хімлаборреактив Україна,null,20,шт.,2320.00,UAH,1160.00,UAH,1160.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1165,339491,null,null,Опромінювач ОБН-150,ОБН-150,ТОВ «Віола Медтехніка». Україна,null,2,шт.,188.00,UAH,94.00,UAH,94.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1166,339467,null,null,Опромінювач ОБП-150,ОБН-150,ТОВ «Віола Медтехніка». Україна,null,26,шт.,520.00,UAH,260.00,UAH,260.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1167,41016,null,null,Опромінювач ОПБ,ОПБ,ТОВ «Віола Медтехніка». Україна,null,1,шт.,139.00,UAH,69.50,UAH,69.50,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1168,113000156,null,null,Опромінювач-рецирк.бак.териц ОРБ 2-30 Фіолет 03,ОРБ 2-30 Фіолет 03,НВПП МЕДПРОМСЕРВІС Україна,null,13,шт.,71177.47,UAH,35588.74,UAH,35588.73,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1171,113000285,null,null,Отоскоп «PICCOLIGHT»,«PICCOLIGHT»,KAWE. Німеччина,null,1,шт.,1693.00,UAH,846.50,UAH,846.50,UAH,5,50,Спеціальне лікарське обстеження оториноларингологічне,1CC,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1172,113000619,null,null,ОТОСКОП HEINE,HEINE,Heine .Німеччина.,null,1,шт.,1200.00,UAH,600.00,UAH,600.00,UAH,5,50,Спеціальне лікарське обстеження оториноларингологічне,1CC,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1173,113000157,null,null,Отоскоп PICCLIQHT F.LED станд.чорний,PICCLIQHT F.LED,KAWE. Німеччина,null,1,шт.,5275.07,UAH,2637.54,UAH,2637.53,UAH,5,50,Спеціальне лікарське обстеження оториноларингологічне,1CC,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1175,339033,null,null,Офтальмоскопи,null,KAWE. Німеччина,null,1,шт.,10.00,UAH,5.00,UAH,5.00,UAH,5,50,Спеціальне лікарське обстеження офтальмологічне,1CB,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1176,113000506,null,null,Підігрівач інфузійних розчинів та крові FT70,FT70,Китай. Медапаратура,null,1,шт.,17500.00,UAH,8750.00,UAH,8750.00,UAH,5,50,Анестезіологія та інтенсивна терапія,2A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1177,113000628,null,null,Підігрівач інфузійних розчинів та крові FT70,FT70,Китай. Медапаратура,null,1,шт.,17500.00,UAH,8750.00,UAH,8750.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1179,111300826,null,null,Підігрівач рідини FW-300,FW-300,Велика Британія. компанія Heaco,null,1,шт.,5795.12,UAH,2897.56,UAH,2897.56,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1180,113000343,null,null,Монітор портативний респіраторний (Capnostream 35),Capnostream 35,Covidien Iic ( США),null,1,шт.,1.00,UAH,0.50,UAH,0.50,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1197,113000433,null,null,Пульсоксиметр GIB укомплектований датчиком Sp02 для немовлят,GIB,Китай,null,3,шт.,35400.00,UAH,17700.00,UAH,17700.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1198,113000161,null,null,Пульсоксиметр «Біомед» ВР-10М,БІОМЕД''ВР- 10М,Biomed. КНР,null,1,шт.,956.08,UAH,478.04,UAH,478.04,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1199,113000367,6000057734,6000057734,Пульсоксиметр для новонародж.RAD G «Masimo» з сенсорами,RAD G «Masimo»,США. Корпорація «Masimo»,null,2,шт.,1500.00,UAH,750.00,UAH,750.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1201,113000434,MA20081030474,MA20081030474,Пульсоксиметр напалечний SONOSAT-F01LT,SONOSAT-F01LT,Китай. Jiangsu Konsung Bio-Medical Science and Technology,null,1,шт.,1290.00,UAH,645.00,UAH,645.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1202,113000286,null,null,Пульсоксиметр напалечний для дітей,null,Китай,null,3,шт.,4050.00,UAH,202500,UAH,202500,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1203,113000221,null,null,Пульсоксиметр НЗ80 з неонатальним датчиком,НЗ80,Україна,null,1,шт.,4990.00,UAH,2495.00,UAH,2495.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1204,11130328,201968614512,201968614512,Пульсоксиметр НЗ80 з неонатальним датчиком,null,Україна,null,12,шт.,7617.86,UAH,3808.94,UAH,3808.92,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1205,11300460,null,null,Рефактометр для вимірювання плазми крові.білка,null,Китай,null,1,шт.,1430.00,UAH,715.00,UAH,715.00,UAH,5,50,Біохімічні дослідження крові,3D,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1206,113000271,null,null,Ролатори,null,Україна. Doctor Life,null,1,шт.,300.00,UAH,150.00,UAH,150.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1207,113000348,null,null,Ролятор,null,Туреччина. Karadeniz Medical,null,1,шт.,400.00,UAH,200.00,UAH,200.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1213,848019,null,null,Секундоміри,null,Україна. Союзмаш,null,2,шт.,6.00,UAH,3.00,UAH,3.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1214,848019,null,null,Секундомір,null,Україна. Союзмаш,null,1,шт.,3.00,UAH,1.50,UAH,1.50,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1215,113000245,null,null,Система високопотокової подачі кисню,null,Китай. Beyond,null,2,шт.,4000.00,UAH,2000.00,UAH,2000.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1216,113000089,A501213G1124,A501213G1124,Система контролю глюкози в крові,null,Китай .Ltd,null,4,шт.,3200.00,UAH,1600.00,UAH,1600.00,UAH,5,50,Біохімічні дослідження крові,3D,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1221,82642,null,null,Стерилизатор ГП-40,ГП-40,ТОВ «Підприємство Медтехсервіс». Україна,null,1,шт.,315.00,UAH,157.50,UAH,157.50,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1222,348016,null,null,Стерилізатори елект.,null,Китай. SUAVINEX,null,3,шт.,12.00,UAH,6.00,UAH,6.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1223,82651,840801,840801,Стерилізатор ГП-80,ГП-80,ТОВ «Підприємство Медтехсервіс». Україна,null,1,шт.,95.00,UAH,47.50,UAH,47.50,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1224,348016,null,null,Стерилізатор електричний,null,Китай. SUAVINEX,null,7,шт.,35.00,UAH,17.50,UAH,17.50,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1225,34Спецфонд,null,null,Стерилізатор електричний,null,Китай. SUAVINEX,null,1,шт.,6.00,UAH,3.00,UAH,3.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1226,113000328,null,null,Стерилізатор пар.вертик.круг.електровог. «ВКУ-50»,«ВКУ-50»,ТОВ «Підприємство Медтехсервіс». Україна,null,2,шт.,600.00,UAH,300.00,UAH,300.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1228,113000655,null,null,Стерилізатор паровий ВК-75-01,ВК-75-01,ТОВ «Полтавський завод медичного обладнання та інструментів»,null,1,шт.,5000.00,UAH,2500.00,UAH,2500.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1229,113000665,null,null,Стерилізатор повітряний ГП-80,ГП-80,ТОВ «Підприємство Медтехсервіс». Україна,null,1,шт.,15500.00,UAH,7750.00,UAH,7750.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1230,113000529,155/24,155/24,Стерилізатор повітряний медичний ГП-40,ГП-40,ТОВ «Підприємство Медтехсервіс». Україна,null,1,шт.,10000.00,UAH,5000.00,UAH,5000.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1231,250075,null,null,Стіл опеpаційний,null,Biomed. Китай,null,1,шт.,30.00,UAH,15.00,UAH,15.00,UAH,5,50,Хірургічні втручання,7,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1232,113000728,null,null,Стіл операційний Амах 9000,Амах 9000,Китай. Ningbo Techant Medical Equipment Co.Ltd,null,1,шт.,1500.00,UAH,750.00,UAH,750.00,UAH,5,50,Хірургічні втручання,7,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1233,113000696,01707,01707,Стіл операційний в комплекті «Біомед»,Біомед,Biomed. КНР,null,1,шт.,2000.00,UAH,1000.00,UAH,1000.00,UAH,5,50,Хірургічні втручання,7,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1234,113000325,null,null,Стіл операційний польовий а пакув. ящику СОПП,null,«Компанія Заповіт»Україна,null,1,шт.,100.00,UAH,50.00,UAH,50.00,UAH,5,50,Хірургічні втручання,7,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1237,752020,null,null,Теpмостати,null,Україна,null,2,шт.,24.00,UAH,12.00,UAH,12.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1238,132810,null,null,Термобокс,null,Україна,null,1,шт.,132.00,UAH,66.00,UAH,66.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1239,242,null,null,Термоконтейнер,null,Китай. компанія Нормак,null,1,шт.,265.00,UAH,132.50,UAH,132.50,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1248,113000722,null,null,Термометр електронний,null,Китай,null,4,шт.,4.00,UAH,2.00,UAH,2.00,UAH,5,50,Вимірювання температури тіла,AA1.21,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1253,113000470,20201112225695,20201112225695,Термометр безконтактний інфрачервоний,null,Китай,null,1,шт.,668.75,UAH,334.38,UAH,334.37,UAH,5,50,Вимірювання температури тіла,AA1.21,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1254,113000594,null,null,Термометр клінічний цифровий,null,Україна,null,14,шт.,210.00,UAH,105.00,UAH,105.00,UAH,5,50,Вимірювання температури тіла,AA1.21,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1255,113000335,null,null,Термометр лабораторний від 0 до 200 градусів,null,Україна .Starko,null,2,шт.,2.00,UAH,1.00,UAH,1.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1256,113000498,null,null,Термометр мед.безконтактний,null,Китай,null,5,шт.,5.00,UAH,2.50,UAH,2.50,UAH,5,50,Вимірювання температури тіла,AA1.21,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1257,113000498,null,null,Термометр медичний безконтактний,null,Китай,null,5,шт.,5.00,UAH,2.50,UAH,2.50,UAH,5,50,Вимірювання температури тіла,AA1.21,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1259,113000409,null,null,Термостат сухоповітряний ТС - 20,ТС-20,МИЗМА. Україна,null,2,шт.,36800.00,UAH,18400.00,UAH,18400.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1260,113000431,null,null,Термосумка для транспортування GLEWDOR,GLEWDOR,GLEWDOR. Україна,null,1,шт.,4900.00,UAH,2450.00,UAH,2450.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1261,351025,null,null,Тонометр,null,Китай,null,6,шт.,295.00,UAH,147.50,UAH,147.50,UAH,5,50,Вимір артеріального тиску,AA1 09,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1262,113000650,null,null,Тонометр,null,Китай,null,1,шт.,1.00,UAH,0.50,UAH,0.50,UAH,5,50,Вимір артеріального тиску,AA1 09,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1263,11300402,null,null,Тонометр,null,Китай,null,1,шт.,461.38,UAH,230.69,UAH,230.69,UAH,5,50,Вимір артеріального тиску,AA1 09,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1265,113000723,null,null,Тонометр дитячий,null,Китай,null,1,шт.,1.00,UAH,0.50,UAH,0.50,UAH,5,50,Вимір артеріального тиску,AA1 09,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1275,321026,null,null,Тонометр з набором манжетів,null,Україна,null,1,шт.,151.00,UAH,75.50,UAH,75.50,UAH,5,50,Вимір артеріального тиску,AA1 09,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1276,351025,null,null,Тонометри,null,Україна,null,2,шт.,56.00,UAH,28.00,UAH,28.00,UAH,5,50,Вимір артеріального тиску,AA1 09,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1277,113000622,null,null,Тренажер верхової їзди Panasonic,null,Panasonic. Японія,null,1,шт.,800.00,UAH,400.00,UAH,400.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1278,113000031,null,null,Тренажер для повзання,null,Україна,null,1,шт.,200.00,UAH,100.00,UAH,100.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1280,113000034,null,null,Турнік,null,Україна,null,1,шт.,150.00,UAH,75.00,UAH,75.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1281,363148,null,null,Центpифуга ел.,null,Китай,null,1,шт.,15.00,UAH,7.50,UAH,7.50,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1282,113000599,null,null,Насос шприцевий,null,Китай,null,7,шт.,2310.00,UAH,1155.00,UAH,1155.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1284,113000491,null,null,Шприцевий насос SYS-50 Syringe Pump,SYS- 50 Syringe Pump,MEDCAPTAIN (Китай),null,2,шт.,17616.88,UAH,8808.44,UAH,8808.44,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1285,113000493,CL602B2D07BBB01,CL602B2D07BBB01,Шприцевий насос з витратними матеріалами,null,Brightfield Healthcare. Сингапур,null,19,шт.,215389.13,UAH,107694.58,UAH,107694.55,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1286,776123,01616,01616,Електpокоогулятоp,null,Китай,null,1,шт.,10.00,UAH,5.00,UAH,5.00,UAH,5,50,Хірургічні втручання,7,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
00185028-947,101470138,null,null,Всеканальний ерегатор CW-3,null,null,null,1,шт.,6561.00,UAH,6561.00,UAH,0.00,UAH,10,100,null,null,КНП «КМКЛ №6»,25680355
00185028-1728,б/№,null,null,Автоматичний гематологічний аналізатор цільної крові,null,null,null,3,шт.,2790008.3,UAH,null,null,null,null,null,null,null,null,КНП «КМКЛ №6»,25680355
00185028-1729,б/№,null,null,Іонселективний аналізатор електролітів,null,null,null,1,шт.,160002.45,UAH,null,null,null,null,null,null,null,null,КНП «КМКЛ №6»,25680355
00185028-1730,б/№,null,null,Аналізатор біохімічний,null,null,null,2,шт.,5600005.50,UAH,null,null,null,null,null,null,null,null,КНП «КМКЛ №6»,25680355
00185028-1731,б/№,null,null,Аналізатор сечі,null,null,null,2,шт.,185000.00,UAH,null,null,null,null,null,null,null,null,КНП «КМКЛ №6»,25680355
00185028-1732,б/№,null,null,Апарат для проведення гемодіалізу,null,null,null,1,шт.,683286.00,UAH,null,null,null,null,null,null,null,null,КНП «КМКЛ №6»,25680355
00185028-1733,б/№,null,null,Електрохірургічний апарат (ЕХА) загального призначення,null,null,null,1,шт.,67800.00,UAH,null,null,null,null,null,null,null,null,КНП «КМКЛ №6»,25680355
00185028-1734,б/№,null,null,Лапароскоп,null,null,null,2,шт.,117801.92,UAH,null,null,null,null,null,null,null,null,КНП «КМКЛ №6»,25680355
00185028-1735,б/№,null,null,Цистоскоп,null,null,null,1,шт.,37700.00,UAH,null,null,null,null,null,null,null,null,КНП «КМКЛ №6»,25680355
00185028-1736,б/№,null,null,Електрохірургічний апарат для ендоскопічних втручань,null,null,null,4,шт.,148860.00,UAH,null,null,null,null,null,null,null,null,КНП «КМКЛ №6»,25680355
00185028-1737,б/№,null,null,Відеогістероскоп,null,null,null,1,шт.,40000.00,UAH,null,null,null,null,null,null,null,null,КНП «КМКЛ №6»,25680355
26199074,104020149,72,null,Аквадистилятор ДЕ-10М,ДЕ-10М,Заповіт (Україна),null,1,шт.,12490.75,UAH,12490.69,UAH,0.06,UAH,10,99.9,null,null,Комунальне некомерційне підприємство «Клінічна лікарня №15» Подільського району міста Києва,26199074
26199074,104020122,null,null,Монітор пацієнта СХ130,СХ130,Charmcare Co. Ltd (Корея),null,1,шт.,6120.00,UAH,6120.00,UAH,0.00,UAH,10,100,Вимір артеріального тиску. пульсу,АА1 09-10,Комунальне некомерційне підприємство «Клінічна лікарня №15» Подільського району міста Києва,26199074
26199074,104020121,null,null,Монітор пацієнта СХ130,СХ130,Charmcare Co. Ltd (Корея),null,1,шт.,6120.00,UAH,6120.00,UAH,0.00,UAH,10,100,Вимір артеріального тиску. пульсу,АА1 09-10,Комунальне некомерційне підприємство «Клінічна лікарня №15» Подільського району міста Києва,26199074
42751893-105,101450095,null,null,Стіл до сухожарової шафи STC,STC,null,null,1,шт.,1656.00,UAH,1656.00,UAH,0,UAH,10,100,null,null,КНП «Медичний центр міста Києва»,42751893
42751893-106,101450096,null,null,Стіл до сухожарової шафи STC,TC,null,null,1,шт.,1656.00,UAH,1656.00,UAH,0,UAH,10,100,null,null,КНП «Медичний центр міста Києва»,42751893
01993992-2,null,0504119096,null,Дефібрилятор,HEARTSTART,Philips Medical Systems. США,null,1,шт.,null,UAH,null,UAH,null,UAH,null,null,Анестезіологія та інтенсивна терапія,6,КНП «Міський заклад з надання психіатричної допомоги»,01993992
01993865-75,410145562,802021018,null,Автоматичний гематол.аналізат.MicroCC-20(СК),null,null,null,1,шт.,217000.00,UAH,130199.77,UAH,86800.23,UAH,10,60,Гематологічні дослідження,3B,КНП «Київський фтизіопульмонологічний центр»,01993865
01993865-80,41045510,801759643,null,Аналізатор біохімічний напівавтоматичний (СК),null,null,null,1,шт.,134820.00,UAH,120214.50,UAH,14605.50,UAH,10,89.17,Біохімічні дослідження,AD4 01,КНП «Київський фтизіопульмонологічний центр»,01993865
01993865-131,410147537,501812093,null,Напівавтоматичний імуноферментний аналіз.(СК),null,null,null,1,шт.,159000.00,UAH,54325,UAH,104675,UAH,10,34.17,Визначення рівнів імуноглобулінів класів A.M.G імуноферментним методом/ Визначення активності тиреотропного гормону у крові,AAE3 09 BAE3 33,КНП «Київський фтизіопульмонологічний центр»,01993865
01993865-138,410147539,511806054,null,Пристрій для промивки мікропланшет (СК),null,null,null,1,шт.,142000.00,UAH,48516.57,UAH,93483.43,UAH,10,34.17,null,null,КНП «Київський фтизіопульмонологічний центр»,01993865
01993865-225,112.3156,137063,null,Камертон медичний,C128,KaWe,null,1,шт.,2404.00,UAH,2404.00,UAH,0,UAH,10,100,Перевірка чутливості,АС1 08,КНП «Київський фтизіопульмонологічний центр»,01993865
01993865-255,610440002,МТ-60-145-60,null,Апарат штучної вентиляції легень MONNAL T60,MONNAL T60,Франція,null,1,шт.,725000.00,UAH,247708.47,UAH,477291.53,UAH,10,34.2,Анестезіологія та інтенсивна терапія,6,КНП «Київський фтизіопульмонологічний центр»,01993865
01993865-273,41046610,1249626102220,null,Концентратор кисню портативний HG5-WN-NS,HG5WN-N8,Китай,null,1,шт.,39000.00,UAH,16900,UAH,22100,UAH,10,43.33,Анестезіологія та інтенсивна терапія,6,КНП «Київський фтизіопульмонологічний центр»,01993865
01993865-274,41046611,1249632102220,null,Концентратор кисню портативний HG5-WN-NS,HG5WN-N8,Китай,null,1,шт.,39000.00,UAH,16900,UAH,22100,UAH,10,43.33,Анестезіологія та інтенсивна терапія,6,КНП «Київський фтизіопульмонологічний центр»,01993865
01993865-275,41046612,1249632102220,null,Концентратор кисню портативний HG5-WN-NS,HG5WN-N9,Китай,null,1,шт.,39000.00,UAH,16575,UAH,22425,UAH,10,42.5,Анестезіологія та інтенсивна терапія,6,КНП «Київський фтизіопульмонологічний центр»,01993865
01993865-281,41047599,VSK201118056,null,Монітор пацієнта STAR80000F,STARN800F,Китай,null,1,шт.,42000.00,UAH,18900,UAH,23100,UAH,10,45.00,Анестезіологія та інтенсивна терапія,6,КНП «Київський фтизіопульмонологічний центр»,01993865
01993865-307,112.3156,08.12012.111,null,Камертон медичний,C128,КАWE. Germani,null,1,шт.,2404.00,UAH,2404.00,UAH,0,UAH,10,100,null,null,КНП «Київський фтизіопульмонологічний центр»,01993865
01993865-364,41047516,null,null,Фібробронхоскоп BF-TE 2,null,null,null,1,шт.,508785.00,UAH,445187.05,UAH,63597.95,UAH,10,87.50,null,null,КНП «Київський фтизіопульмонологічний центр»,01993865
